id,name,created_utc,updated_on,comment_karma,link_karma
1,truman48lamb_jasonbroken,1397113470,1536527864,0,0
2,johnethen06_jasonbroken,1397113483,1536527864,0,0
3,yaseinrez_jasonbroken,1397113483,1536527864,0,1
4,Valve92_jasonbroken,1397113503,1536527864,0,0
5,srbhuyan_jasonbroken,1397113506,1536527864,0,0
6,taojianlong_jasonbroken,1397113510,1536527864,4,0
7,YourPalGrant92_jasonbroken,1397113513,1536527864,0,0
8,Lucki87_jasonbroken,1397113515,1536527864,0,0
9,punkstock_jasonbroken,1397113517,1536527864,0,0
10,duder_con_chile_jasonbroken,1397113519,1536527864,0,2
11,IHaveBigBalls_jasonbroken,1397113520,1536527864,0,0
12,Foggybanana_jasonbroken,1397113523,1536527864,0,0
13,Thedrinkdriver_jasonbroken,1397113527,1536527864,-9,0
14,littlemissd_jasonbroken,1397113530,1536527864,0,-3
15,phonethaway_jasonbroken,1397113537,1536527864,0,0
16,DreamingOfWinterfell_jasonbroken,1397113538,1536527864,0,0
17,ssaig_jasonbroken,1397113544,1536527864,1,0
18,divinetribe_jasonbroken,1397113549,1536527864,0,0
19,fdbvfdssdgfds_jasonbroken,1397113552,1536527864,3,0
20,hjtrsh54yh43_jasonbroken,1397113559,1536527864,-1,-1
